Feature,Bin,WoE,Coefficient,Points
EXT_SOURCE_3,0,-1.1628,-0.6266,30
EXT_SOURCE_3,1,-0.6348,-0.6266,21
EXT_SOURCE_3,2,-0.2238,-0.6266,13
EXT_SOURCE_3,3,0.0145,-0.6266,9
EXT_SOURCE_3,4,0.1438,-0.6266,7
EXT_SOURCE_3,5,0.3473,-0.6266,3
EXT_SOURCE_3,6,0.5479,-0.6266,0
EXT_SOURCE_3,7,0.5955,-0.6266,-1
EXT_SOURCE_3,8,0.7335,-0.6266,-4
EXT_SOURCE_3,9,0.904,-0.6266,-7
EXT_SOURCE_3,10,1.009,-0.6266,-9
EXT_SOURCE_3,11,0.0,-0.6266,9
EXT_SOURCE_3,12,-0.1523,-0.6266,12
EXT_SOURCE_2,0,-1.1333,-0.7282,33
EXT_SOURCE_2,1,-0.6034,-0.7282,22
EXT_SOURCE_2,2,-0.3864,-0.7282,18
EXT_SOURCE_2,3,-0.241,-0.7282,14
EXT_SOURCE_2,4,-0.0931,-0.7282,11
EXT_SOURCE_2,5,0.046,-0.7282,8
EXT_SOURCE_2,6,0.1905,-0.7282,5
EXT_SOURCE_2,7,0.2318,-0.7282,5
EXT_SOURCE_2,8,0.3888,-0.7282,1
EXT_SOURCE_2,9,0.4586,-0.7282,0
EXT_SOURCE_2,10,0.5884,-0.7282,-3
EXT_SOURCE_2,11,0.631,-0.7282,-4
EXT_SOURCE_2,12,0.8373,-0.7282,-8
EXT_SOURCE_2,13,1.0888,-0.7282,-13
EXT_SOURCE_2,14,0.0,-0.7282,9
EXT_SOURCE_2,15,0.0484,-0.7282,8
EXT_SOURCE_1,0,-0.7236,-0.5079,20
EXT_SOURCE_1,1,-0.148,-0.5079,12
EXT_SOURCE_1,2,0.1912,-0.5079,7
EXT_SOURCE_1,3,0.4129,-0.5079,3
EXT_SOURCE_1,4,0.5977,-0.5079,1
EXT_SOURCE_1,5,1.0371,-0.5079,-6
EXT_SOURCE_1,6,0.0,-0.5079,9
EXT_SOURCE_1,7,-0.0594,-0.5079,10
bureau_days_credit_mean,0,0.5074,-0.1059,8
bureau_days_credit_mean,1,0.4895,-0.1059,8
bureau_days_credit_mean,2,0.4074,-0.1059,8
bureau_days_credit_mean,3,0.2975,-0.1059,9
bureau_days_credit_mean,4,0.2369,-0.1059,9
bureau_days_credit_mean,5,0.1238,-0.1059,9
bureau_days_credit_mean,6,-0.0172,-0.1059,9
bureau_days_credit_mean,7,-0.1835,-0.1059,10
bureau_days_credit_mean,8,-0.3312,-0.1059,10
bureau_days_credit_mean,9,-0.6388,-0.1059,11
bureau_days_credit_mean,10,0.0,-0.1059,9
bureau_days_credit_mean,11,-0.2486,-0.1059,10
DAYS_EMPLOYED,0,0.6556,-0.4155,2
DAYS_EMPLOYED,1,0.3862,-0.4155,5
DAYS_EMPLOYED,2,0.2146,-0.4155,7
DAYS_EMPLOYED,3,0.1175,-0.4155,8
DAYS_EMPLOYED,4,0.0008,-0.4155,9
DAYS_EMPLOYED,5,-0.1297,-0.4155,11
DAYS_EMPLOYED,6,-0.2583,-0.4155,13
DAYS_EMPLOYED,7,-0.3435,-0.4155,14
DAYS_EMPLOYED,8,-0.4121,-0.4155,14
DAYS_EMPLOYED,9,-0.3097,-0.4155,13
DAYS_EMPLOYED,10,0.4369,-0.4155,4
DAYS_EMPLOYED,11,0.0,-0.4155,9
DAYS_EMPLOYED,12,0.0,-0.4155,9
AMT_GOODS_PRICE,0,0.2417,-0.4865,6
AMT_GOODS_PRICE,1,-0.017,-0.4865,10
AMT_GOODS_PRICE,2,-0.0439,-0.4865,10
AMT_GOODS_PRICE,3,-0.2778,-0.4865,13
AMT_GOODS_PRICE,4,-0.5966,-0.4865,18
AMT_GOODS_PRICE,5,0.0471,-0.4865,9
AMT_GOODS_PRICE,6,0.2698,-0.4865,6
AMT_GOODS_PRICE,7,0.3932,-0.4865,4
AMT_GOODS_PRICE,8,0.6612,-0.4865,0
AMT_GOODS_PRICE,9,0.0,-0.4865,9
AMT_GOODS_PRICE,10,0.0524,-0.4865,9
DAYS_BIRTH,0,0.6662,0.1648,13
DAYS_BIRTH,1,0.4379,0.1648,11
DAYS_BIRTH,2,0.3388,0.1648,11
DAYS_BIRTH,3,0.1664,0.1648,10
DAYS_BIRTH,4,0.1372,0.1648,10
DAYS_BIRTH,5,0.0825,0.1648,10
DAYS_BIRTH,6,0.0384,0.1648,10
DAYS_BIRTH,7,-0.023,0.1648,9
DAYS_BIRTH,8,-0.1555,0.1648,9
DAYS_BIRTH,9,-0.2358,0.1648,8
DAYS_BIRTH,10,-0.3381,0.1648,8
DAYS_BIRTH,11,-0.3775,0.1648,8
DAYS_BIRTH,12,-0.4463,0.1648,7
DAYS_BIRTH,13,0.0,0.1648,9
DAYS_BIRTH,14,0.0,0.1648,9
inst_late_payment_rate,0,0.194,-0.4251,7
inst_late_payment_rate,1,0.0558,-0.4251,9
inst_late_payment_rate,2,-0.079,-0.4251,10
inst_late_payment_rate,3,-0.2027,-0.4251,12
inst_late_payment_rate,4,-0.2723,-0.4251,13
inst_late_payment_rate,5,-0.3729,-0.4251,14
inst_late_payment_rate,6,-0.5841,-0.4251,17
inst_late_payment_rate,7,0.0,-0.4251,9
inst_late_payment_rate,8,0.3221,-0.4251,5
prev_approval_rate,0,-0.6007,-0.0414,10
prev_approval_rate,1,-0.3927,-0.0414,10
prev_approval_rate,2,-0.1609,-0.0414,10
prev_approval_rate,3,-0.039,-0.0414,9
prev_approval_rate,4,0.0525,-0.0414,9
prev_approval_rate,5,0.1636,-0.0414,9
prev_approval_rate,6,0.0,-0.0414,9
prev_approval_rate,7,0.3183,-0.0414,9
cc_util_mean,0,0.4112,-0.1495,8
cc_util_mean,1,-0.029,-0.1495,10
cc_util_mean,2,-0.682,-0.1495,12
cc_util_mean,3,0.0,-0.1495,9
cc_util_mean,4,0.0324,-0.1495,9
AMT_CREDIT,0,0.323,0.2502,12
AMT_CREDIT,1,0.0411,0.2502,10
AMT_CREDIT,2,-0.1633,0.2502,8
AMT_CREDIT,3,-0.2561,0.2502,8
AMT_CREDIT,4,-0.4107,0.2502,6
AMT_CREDIT,5,-0.2152,0.2502,8
AMT_CREDIT,6,0.0752,0.2502,10
AMT_CREDIT,7,0.1789,0.2502,11
AMT_CREDIT,8,0.3035,0.2502,12
AMT_CREDIT,9,0.6529,0.2502,14
AMT_CREDIT,10,0.0,0.2502,9
AMT_CREDIT,11,0.0,0.2502,9
NAME_INCOME_TYPE,0,0.0668,-0.1533,9
NAME_INCOME_TYPE,1,0.439,-0.1533,7
NAME_INCOME_TYPE,2,0.3475,-0.1533,8
NAME_INCOME_TYPE,3,-0.1832,-0.1533,10
NAME_INCOME_TYPE,4,0.0,-0.1533,9
NAME_INCOME_TYPE,5,0.0,-0.1533,9
prev_refused_count,0,0.1454,-0.5482,7
prev_refused_count,1,-0.104,-0.5482,11
prev_refused_count,2,-0.3025,-0.5482,14
prev_refused_count,3,-0.5637,-0.5482,18
prev_refused_count,4,0.0,-0.5482,9
prev_refused_count,5,0.3183,-0.5482,4
bureau_active_count,0,0.3846,-0.3238,6
bureau_active_count,1,0.1375,-0.3238,8
bureau_active_count,2,0.0877,-0.3238,9
bureau_active_count,3,-0.0248,-0.3238,10
bureau_active_count,4,-0.161,-0.3238,11
bureau_active_count,5,-0.4347,-0.3238,13
bureau_active_count,6,0.0,-0.3238,9
bureau_active_count,7,-0.2486,-0.3238,12
REGION_RATING_CLIENT_W_CITY,0,0.5402,-0.2603,5
REGION_RATING_CLIENT_W_CITY,1,0.0232,-0.2603,9
REGION_RATING_CLIENT_W_CITY,2,-0.3881,-0.2603,12
REGION_RATING_CLIENT_W_CITY,3,0.0,-0.2603,9
REGION_RATING_CLIENT_W_CITY,4,0.0,-0.2603,9
inst_amt_underpaid_mean,0,0.3771,-0.3207,6
inst_amt_underpaid_mean,1,0.1073,-0.3207,8
inst_amt_underpaid_mean,2,0.031,-0.3207,9
inst_amt_underpaid_mean,3,-0.1084,-0.3207,10
inst_amt_underpaid_mean,4,-0.2414,-0.3207,12
inst_amt_underpaid_mean,5,-0.3023,-0.3207,12
inst_amt_underpaid_mean,6,-0.3907,-0.3207,13
inst_amt_underpaid_mean,7,0.0,-0.3207,9
inst_amt_underpaid_mean,8,0.3225,-0.3207,6
bureau_debt_sum,0,0.3859,-0.0332,9
bureau_debt_sum,1,0.0153,-0.0332,9
bureau_debt_sum,2,-0.0344,-0.0332,9
bureau_debt_sum,3,-0.1211,-0.0332,10
bureau_debt_sum,4,-0.1248,-0.0332,10
bureau_debt_sum,5,-0.1319,-0.0332,10
bureau_debt_sum,6,0.0,-0.0332,9
bureau_debt_sum,7,-0.2486,-0.0332,10
NAME_EDUCATION_TYPE,0,0.4334,-0.5777,2
NAME_EDUCATION_TYPE,1,-0.1113,-0.5777,11
NAME_EDUCATION_TYPE,2,0.0,-0.5777,9
NAME_EDUCATION_TYPE,3,0.0,-0.5777,9
cc_util_max,0,0.4235,-0.4596,4
cc_util_max,1,0.091,-0.4596,8
cc_util_max,2,-0.2694,-0.4596,13
cc_util_max,3,-0.5102,-0.4596,16
cc_util_max,4,0.0,-0.4596,9
cc_util_max,5,0.0324,-0.4596,9
DAYS_LAST_PHONE_CHANGE,0,0.4955,-0.0488,9
DAYS_LAST_PHONE_CHANGE,1,0.3752,-0.0488,9
DAYS_LAST_PHONE_CHANGE,2,0.2963,-0.0488,9
DAYS_LAST_PHONE_CHANGE,3,0.2286,-0.0488,9
DAYS_LAST_PHONE_CHANGE,4,0.1188,-0.0488,9
DAYS_LAST_PHONE_CHANGE,5,-0.0005,-0.0488,9
DAYS_LAST_PHONE_CHANGE,6,-0.0541,-0.0488,9
DAYS_LAST_PHONE_CHANGE,7,-0.1438,-0.0488,10
DAYS_LAST_PHONE_CHANGE,8,-0.1511,-0.0488,10
DAYS_LAST_PHONE_CHANGE,9,-0.1845,-0.0488,10
DAYS_LAST_PHONE_CHANGE,10,0.0,-0.0488,9
DAYS_LAST_PHONE_CHANGE,11,0.0,-0.0488,9
cc_balance_mean,0,0.4272,-0.0421,9
cc_balance_mean,1,0.1789,-0.0421,9
cc_balance_mean,2,-0.241,-0.0421,10
cc_balance_mean,3,-0.5075,-0.0421,10
cc_balance_mean,4,0.0,-0.0421,9
cc_balance_mean,5,0.0324,-0.0421,9
bureau_days_enddate_max,0,0.3026,-0.2087,8
bureau_days_enddate_max,1,0.2039,-0.2087,8
bureau_days_enddate_max,2,0.1679,-0.2087,8
bureau_days_enddate_max,3,0.0036,-0.2087,9
bureau_days_enddate_max,4,-0.0592,-0.2087,10
bureau_days_enddate_max,5,-0.3102,-0.2087,11
bureau_days_enddate_max,6,0.0,-0.2087,9
bureau_days_enddate_max,7,-0.2511,-0.2087,11
prev_days_decision_min,0,0.3223,-0.2836,7
prev_days_decision_min,1,0.2262,-0.2836,8
prev_days_decision_min,2,0.1967,-0.2836,8
prev_days_decision_min,3,0.1596,-0.2836,8
prev_days_decision_min,4,0.0982,-0.2836,9
prev_days_decision_min,5,0.0268,-0.2836,9
prev_days_decision_min,6,-0.1305,-0.2836,10
prev_days_decision_min,7,-0.2474,-0.2836,11
prev_days_decision_min,8,-0.2523,-0.2836,11
prev_days_decision_min,9,-0.3086,-0.2836,12
prev_days_decision_min,10,0.0,-0.2836,9
prev_days_decision_min,11,0.3183,-0.2836,7
bureau_closed_count,0,-0.3468,-0.2286,12
bureau_closed_count,1,-0.0347,-0.2286,10
bureau_closed_count,2,0.0958,-0.2286,9
bureau_closed_count,3,0.1871,-0.2286,8
bureau_closed_count,4,0.1879,-0.2286,8
bureau_closed_count,5,0.1958,-0.2286,8
bureau_closed_count,6,0.0,-0.2286,9
bureau_closed_count,7,-0.2486,-0.2286,11
ORGANIZATION_TYPE,0,-0.0332,0.0617,9
ORGANIZATION_TYPE,1,-0.2586,0.0617,9
ORGANIZATION_TYPE,2,-0.123,0.0617,9
ORGANIZATION_TYPE,3,0.4376,0.0617,10
ORGANIZATION_TYPE,4,0.0,0.0617,9
ORGANIZATION_TYPE,5,0.0,0.0617,9
inst_days_late_max,0,0.2045,-0.4038,7
inst_days_late_max,1,0.1514,-0.4038,8
inst_days_late_max,2,-0.0057,-0.4038,9
inst_days_late_max,3,-0.047,-0.4038,10
inst_days_late_max,4,-0.137,-0.4038,11
inst_days_late_max,5,-0.2142,-0.4038,12
inst_days_late_max,6,-0.3236,-0.4038,13
inst_days_late_max,7,0.0,-0.4038,9
inst_days_late_max,8,0.3225,-0.4038,6
CODE_GENDER,0,0.154,-0.7432,6
CODE_GENDER,1,-0.2502,-0.7432,15
CODE_GENDER,2,0.0,-0.7432,9
CODE_GENDER,3,0.0,-0.7432,9
FLOORSMAX_AVG,0,-0.1226,-0.0743,10
FLOORSMAX_AVG,1,0.1145,-0.0743,9
FLOORSMAX_AVG,2,0.2949,-0.0743,9
FLOORSMAX_AVG,3,0.5007,-0.0743,8
FLOORSMAX_AVG,4,0.0,-0.0743,9
FLOORSMAX_AVG,5,-0.1407,-0.0743,10
DAYS_ID_PUBLISH,0,0.3169,-0.2331,7
DAYS_ID_PUBLISH,1,0.2995,-0.2331,7
DAYS_ID_PUBLISH,2,0.2409,-0.2331,8
DAYS_ID_PUBLISH,3,0.1055,-0.2331,9
DAYS_ID_PUBLISH,4,0.0249,-0.2331,9
DAYS_ID_PUBLISH,5,-0.0047,-0.2331,9
DAYS_ID_PUBLISH,6,-0.0773,-0.2331,10
DAYS_ID_PUBLISH,7,-0.0955,-0.2331,10
DAYS_ID_PUBLISH,8,-0.1698,-0.2331,11
DAYS_ID_PUBLISH,9,-0.1851,-0.2331,11
DAYS_ID_PUBLISH,10,-0.2232,-0.2331,11
DAYS_ID_PUBLISH,11,-0.2823,-0.2331,11
DAYS_ID_PUBLISH,12,0.0,-0.2331,9
DAYS_ID_PUBLISH,13,0.0,-0.2331,9
cc_drawings_mean,0,0.1417,-0.583,7
cc_drawings_mean,1,-0.4571,-0.583,17
cc_drawings_mean,2,-0.4905,-0.583,18
cc_drawings_mean,3,0.0,-0.583,9
cc_drawings_mean,4,0.0702,-0.583,8
TOTALAREA_MODE,0,-0.1168,-0.0997,10
TOTALAREA_MODE,1,0.1306,-0.0997,9
TOTALAREA_MODE,2,0.1545,-0.0997,9
TOTALAREA_MODE,3,0.2267,-0.0997,9
TOTALAREA_MODE,4,0.3626,-0.0997,8
TOTALAREA_MODE,5,0.4295,-0.0997,8
TOTALAREA_MODE,6,0.0,-0.0997,9
TOTALAREA_MODE,7,-0.1459,-0.0997,10
REGION_POPULATION_RELATIVE,0,-0.0454,0.052,9
REGION_POPULATION_RELATIVE,1,-0.0707,0.052,9
REGION_POPULATION_RELATIVE,2,-0.1135,0.052,9
REGION_POPULATION_RELATIVE,3,-0.3058,0.052,9
REGION_POPULATION_RELATIVE,4,0.0421,0.052,9
REGION_POPULATION_RELATIVE,5,0.2525,0.052,10
REGION_POPULATION_RELATIVE,6,0.6067,0.052,10
REGION_POPULATION_RELATIVE,7,0.0,0.052,9
REGION_POPULATION_RELATIVE,8,0.0,0.052,9
OCCUPATION_TYPE,0,-0.1263,-0.0811,10
OCCUPATION_TYPE,1,0.2801,-0.0811,9
OCCUPATION_TYPE,2,0.2264,-0.0811,9
OCCUPATION_TYPE,3,-0.2081,-0.0811,10
OCCUPATION_TYPE,4,0.0,-0.0811,9
OCCUPATION_TYPE,5,0.0,-0.0811,9
prev_credit_util_mean,0,-0.2949,-0.3635,13
prev_credit_util_mean,1,-0.1738,-0.3635,11
prev_credit_util_mean,2,-0.1166,-0.3635,11
prev_credit_util_mean,3,-0.086,-0.3635,10
prev_credit_util_mean,4,-0.0094,-0.3635,10
prev_credit_util_mean,5,0.1133,-0.3635,8
prev_credit_util_mean,6,0.207,-0.3635,7
prev_credit_util_mean,7,0.3135,-0.3635,6
prev_credit_util_mean,8,0.367,-0.3635,6
prev_credit_util_mean,9,0.0,-0.3635,9
prev_credit_util_mean,10,0.3183,-0.3635,6
prev_amt_down_payment_mean,0,-0.1567,-0.3555,11
prev_amt_down_payment_mean,1,-0.0554,-0.3555,10
prev_amt_down_payment_mean,2,-0.0035,-0.3555,9
prev_amt_down_payment_mean,3,0.0962,-0.3555,8
prev_amt_down_payment_mean,4,0.1579,-0.3555,8
prev_amt_down_payment_mean,5,0.2324,-0.3555,7
prev_amt_down_payment_mean,6,0.3943,-0.3555,5
prev_amt_down_payment_mean,7,0.4474,-0.3555,5
prev_amt_down_payment_mean,8,0.0,-0.3555,9
prev_amt_down_payment_mean,9,-0.0221,-0.3555,10
REG_CITY_NOT_WORK_CITY,0,0.1088,0.071,10
REG_CITY_NOT_WORK_CITY,1,-0.3045,0.071,9
REG_CITY_NOT_WORK_CITY,2,0.0,0.071,9
REG_CITY_NOT_WORK_CITY,3,0.0,0.071,9
AMT_ANNUITY,0,0.1733,-0.3037,8
AMT_ANNUITY,1,0.0869,-0.3037,9
AMT_ANNUITY,2,-0.0844,-0.3037,10
AMT_ANNUITY,3,-0.1277,-0.3037,11
AMT_ANNUITY,4,-0.3666,-0.3037,13
AMT_ANNUITY,5,-0.0511,-0.3037,10
AMT_ANNUITY,6,0.0172,-0.3037,9
AMT_ANNUITY,7,0.2623,-0.3037,7
AMT_ANNUITY,8,0.4102,-0.3037,6
AMT_ANNUITY,9,0.0,-0.3037,9
AMT_ANNUITY,10,0.0,-0.3037,9
inst_days_late_mean,0,0.1736,-0.1564,9
inst_days_late_mean,1,0.0596,-0.1564,9
inst_days_late_mean,2,0.053,-0.1564,9
inst_days_late_mean,3,-0.0593,-0.1564,10
inst_days_late_mean,4,-0.0811,-0.1564,10
inst_days_late_mean,5,-0.1517,-0.1564,10
inst_days_late_mean,6,-0.2229,-0.1564,10
inst_days_late_mean,7,-0.3659,-0.1564,11
inst_days_late_mean,8,0.0,-0.1564,9
inst_days_late_mean,9,0.3225,-0.1564,8
DAYS_REGISTRATION,0,0.4116,-0.2603,6
DAYS_REGISTRATION,1,0.326,-0.2603,7
DAYS_REGISTRATION,2,0.1715,-0.2603,8
DAYS_REGISTRATION,3,0.1394,-0.2603,8
DAYS_REGISTRATION,4,0.0669,-0.2603,9
DAYS_REGISTRATION,5,-0.0574,-0.2603,10
DAYS_REGISTRATION,6,-0.081,-0.2603,10
DAYS_REGISTRATION,7,-0.1414,-0.2603,10
DAYS_REGISTRATION,8,-0.2411,-0.2603,11
DAYS_REGISTRATION,9,0.0,-0.2603,9
DAYS_REGISTRATION,10,0.0,-0.2603,9
YEARS_BEGINEXPLUATATION_MODE,0,-0.0195,-0.54,10
YEARS_BEGINEXPLUATATION_MODE,1,0.1163,-0.54,8
YEARS_BEGINEXPLUATATION_MODE,2,0.1655,-0.54,7
YEARS_BEGINEXPLUATATION_MODE,3,0.1797,-0.54,7
YEARS_BEGINEXPLUATATION_MODE,4,0.186,-0.54,7
YEARS_BEGINEXPLUATATION_MODE,5,0.4233,-0.54,3
YEARS_BEGINEXPLUATATION_MODE,6,0.0,-0.54,9
YEARS_BEGINEXPLUATATION_MODE,7,-0.1422,-0.54,12
FLAG_DOCUMENT_3,0,0.2871,-0.6313,4
FLAG_DOCUMENT_3,1,-0.0996,-0.6313,11
FLAG_DOCUMENT_3,2,0.0,-0.6313,9
FLAG_DOCUMENT_3,3,0.0,-0.6313,9
pos_months_balance,0,0.0272,0.0395,9
pos_months_balance,1,0.1171,0.0395,10
pos_months_balance,2,0.1613,0.0395,10
pos_months_balance,3,0.1695,0.0395,10
pos_months_balance,4,0.2325,0.0395,10
pos_months_balance,5,0.0784,0.0395,10
pos_months_balance,6,-0.0061,0.0395,9
pos_months_balance,7,-0.0683,0.0395,9
pos_months_balance,8,-0.1611,0.0395,9
pos_months_balance,9,-0.2485,0.0395,9
pos_months_balance,10,-0.2892,0.0395,9
pos_months_balance,11,0.0,0.0395,9
pos_months_balance,12,0.2038,0.0395,10
prev_amt_annuity_mean,0,-0.3178,-0.3969,13
prev_amt_annuity_mean,1,-0.1254,-0.3969,11
prev_amt_annuity_mean,2,-0.1251,-0.3969,11
prev_amt_annuity_mean,3,-0.02,-0.3969,10
prev_amt_annuity_mean,4,0.0404,-0.3969,9
prev_amt_annuity_mean,5,0.0784,-0.3969,9
prev_amt_annuity_mean,6,0.1489,-0.3969,8
prev_amt_annuity_mean,7,0.4478,-0.3969,4
prev_amt_annuity_mean,8,0.0,-0.3969,9
prev_amt_annuity_mean,9,0.3192,-0.3969,6
ENTRANCES_AVG,0,0.0096,-0.217,9
ENTRANCES_AVG,1,0.1269,-0.217,9
ENTRANCES_AVG,2,0.2032,-0.217,8
ENTRANCES_AVG,3,0.2526,-0.217,8
ENTRANCES_AVG,4,0.2846,-0.217,8
ENTRANCES_AVG,5,0.0,-0.217,9
ENTRANCES_AVG,6,-0.1386,-0.217,10
pos_count,0,-0.1873,-0.7566,14
pos_count,1,-0.1666,-0.7566,13
pos_count,2,-0.027,-0.7566,10
pos_count,3,0.0179,-0.7566,9
pos_count,4,0.0833,-0.7566,8
pos_count,5,0.1451,-0.7566,6
pos_count,6,0.2717,-0.7566,3
pos_count,7,0.1404,-0.7566,6
pos_count,8,0.0,-0.7566,9
pos_count,9,0.2038,-0.7566,5
REG_CITY_NOT_LIVE_CITY,0,0.0497,-0.3302,9
REG_CITY_NOT_LIVE_CITY,1,-0.473,-0.3302,14
REG_CITY_NOT_LIVE_CITY,2,0.0,-0.3302,9
REG_CITY_NOT_LIVE_CITY,3,0.0,-0.3302,9
bureau_max_overdue,0,0.1866,-0.4164,7
bureau_max_overdue,1,-0.2261,-0.4164,12
bureau_max_overdue,2,-0.1938,-0.4164,12
bureau_max_overdue,3,0.0,-0.4164,9
bureau_max_overdue,4,-0.0482,-0.4164,10
EMERGENCYSTATE_MODE,0,-0.1492,0.3128,8
EMERGENCYSTATE_MODE,1,0.1525,0.3128,11
EMERGENCYSTATE_MODE,2,0.0,0.3128,9
EMERGENCYSTATE_MODE,3,0.0,0.3128,9
OWN_CAR_AGE,0,0.3399,-0.6864,3
OWN_CAR_AGE,1,0.4015,-0.6864,1
OWN_CAR_AGE,2,0.1571,-0.6864,6
OWN_CAR_AGE,3,-0.0587,-0.6864,11
OWN_CAR_AGE,4,-0.1719,-0.6864,13
OWN_CAR_AGE,5,0.0,-0.6864,9
OWN_CAR_AGE,6,-0.0541,-0.6864,10
NONLIVINGAREA_AVG,0,0.1168,0.0503,10
NONLIVINGAREA_AVG,1,0.1743,0.0503,10
NONLIVINGAREA_AVG,2,0.3358,0.0503,10
NONLIVINGAREA_AVG,3,0.0,0.0503,9
NONLIVINGAREA_AVG,4,-0.1219,0.0503,9
WALLSMATERIAL_MODE,0,-0.1188,-0.0685,10
WALLSMATERIAL_MODE,1,0.2505,-0.0685,9
WALLSMATERIAL_MODE,2,0.0657,-0.0685,9
WALLSMATERIAL_MODE,3,0.0,-0.0685,9
WALLSMATERIAL_MODE,4,0.0,-0.0685,9
bureau_bb_dpd_months_sum,0,0.0905,-0.1698,9
bureau_bb_dpd_months_sum,1,-0.237,-0.1698,11
bureau_bb_dpd_months_sum,2,0.0,-0.1698,9
bureau_bb_dpd_months_sum,3,-0.2486,-0.1698,11
BASEMENTAREA_AVG,0,0.0464,0.1414,10
BASEMENTAREA_AVG,1,0.1248,0.1414,10
BASEMENTAREA_AVG,2,0.2076,0.1414,10
BASEMENTAREA_AVG,3,0.3683,0.1414,11
BASEMENTAREA_AVG,4,0.0,0.1414,9
BASEMENTAREA_AVG,5,-0.1059,0.1414,9
pos_completed_count,0,-0.1883,-0.2488,11
pos_completed_count,1,-0.1269,-0.2488,10
pos_completed_count,2,0.052,-0.2488,9
pos_completed_count,3,0.1452,-0.2488,8
pos_completed_count,4,0.1955,-0.2488,8
pos_completed_count,5,0.0,-0.2488,9
pos_completed_count,6,0.2038,-0.2488,8
cc_payment_rate_mean,0,-0.0103,0.4916,9
cc_payment_rate_mean,1,-0.3225,0.4916,5
cc_payment_rate_mean,2,-0.291,0.4916,5
cc_payment_rate_mean,3,0.0,0.4916,9
cc_payment_rate_mean,4,0.0682,0.4916,10
